Año,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
1950,28.70967741935484,29.464285714285715,26.690322580645155,21.303333333333335,16.70967741935484,14.436666666666667,14.793548387096775,16.54516129032258,18.453333333333333,21.167741935483868,23.580000000000002,28.15833333333333
1951,27.319354838709675,27.325,27.674193548387098,22.553333333333335,19.867741935483874,14.373333333333333,14.845161290322581,16.148387096774194,19.063333333333333,22.954838709677418,25.85333333333333,28.19677419354839
1952,31.374193548387098,29.824137931034485,27.6258064516129,25.013333333333332,18.17741935483871,12.6,14.24193548387097,18.116129032258065,19.93,22.035483870967745,25.863333333333337,29.19354838709678
1953,28.658064516129027,29.26428571428571,27.193548387096776,22.52333333333333,17.477419354838712,13.956666666666665,13.790322580645164,15.680645161290325,17.15,18.109677419354842,26.196666666666662,27.77096774193548
1954,29.919354838709676,29.63571428571428,27.99677419354839,21.426666666666666,15.45483870967742,12.839999999999998,12.764516129032257,17.506451612903227,18.19,21.096774193548388,26.773333333333333,28.745161290322578
1955,30.28709677419355,30.067857142857143,27.087096774193544,22.226666666666663,18.55483870967742,14.546666666666665,13.74516129032258,14.548387096774198,19.44666666666667,21.490322580645163,27.89,28.777419354838706
1956,28.041935483870965,30.73448275862069,25.535483870967738,19.860000000000003,16.70645161290323,12.849999999999998,14.99032258064516,16.277419354838713,17.726666666666667,22.76451612903226,27.226666666666667,27.92258064516129
1957,29.854838709677423,29.699999999999996,27.66451612903226,23.029999999999994,17.919354838709676,15.463333333333333,14.541935483870969,16.403225806451612,18.98333333333333,21.516666666666662,27.01333333333333,28.370967741935484
1958,29.851612903225806,29.767857142857142,26.770967741935486,23.98333333333333,16.48709677419355,14.016666666666667,15.59354838709677,14.258064516129032,16.913333333333334,22.78064516129032,24.78333333333334,26.95483870967742
1959,27.938709677419357,28.603571428571424,26.49677419354839,18.85666666666667,17.509677419354837,14.156666666666668,13.441935483870967,15.25806451612903,19.459999999999997,21.593548387096774,25.59333333333333,29.206451612903223
1960,28.7258064516129,29.655172413793103,27.08709677419355,25.39,18.787096774193547,14.876666666666667,12.63225806451613,16.796774193548384,19.90666666666667,21.74516129032258,28.226666666666667,28.858064516129033
1961,29.264516129032256,29.66071428571429,26.42258064516129,24.283333333333328,20.048387096774196,13.4,14.661290322580646,16.26451612903226,15.493333333333334,22.90967741935484,25.233333333333334,28.43870967741935
1962,29.43548387096775,27.75714285714286,27.332258064516125,23.25666666666667,19.051612903225806,14.830000000000002,14.748387096774195,17.29032258064516,18.87333333333333,21.864516129032257,25.729999999999997,28.735483870967744
1963,28.76129032258065,28.514285714285712,26.65483870967742,26.00666666666666,19.79677419354838,15.456666666666665,14.180645161290323,15.574193548387097,16.446666666666665,20.083870967741937,22.21666666666666,28.209677419354836
1964,29.01612903225806,27.693103448275863,26.232258064516127,21.509999999999998,20.445161290322584,15.546666666666669,14.348387096774196,15.799999999999997,20.66,22.874193548387098,26.456666666666663,26.300000000000004
1965,30.00645161290323,29.985714285714288,28.825806451612905,21.876666666666665,17.361290322580647,17.673333333333332,14.325806451612902,14.870967741935486,18.76666666666667,20.870967741935484,24.833333333333332,26.887096774193544
1966,29.645161290322587,28.164285714285718,25.8,20.87333333333333,20.73225806451613,13.303333333333335,14.170967741935486,15.529032258064515,19.323333333333334,22.422580645161286,24.513333333333332,25.796774193548387
1967,28.75806451612903,28.785714285714285,26.964516129032255,25.12,18.183870967741935,13.770000000000001,13.641935483870967,16.57741935483871,17.313333333333333,22.193548387096776,25.120000000000005,28.967741935483872
1968,30.480645161290322,29.831034482758618,25.858064516129033,23.663333333333334,20.377419354838707,16.160000000000004,16.925806451612903,19.338709677419356,20.866666666666667,21.28064516129032,26.78333333333334,28.338709677419352
1969,31.12258064516129,29.557142857142853,26.293548387096767,23.883333333333333,18.40967741935484,14.40333333333333,16.012903225806454,17.70645161290323,21.416666666666675,22.570967741935483,25.586666666666666,29.938709677419357
1970,29.054838709677416,29.79642857142857,28.33870967741935,26.880000000000003,19.012903225806454,13.643333333333336,14.848387096774193,16.516129032258064,20.57333333333333,22.48387096774194,25.919999999999998,27.81935483870968
1971,28.083333333333332,28.153571428571432,25.793548387096774,22.58,20.016666666666666,13.606896551724143,16.413793103448274,16.493548387096773,19.483333333333334,23.246666666666666,28.420000000000005,28.516129032258064
1972,30.933333333333334,30.337499999999995,27.456666666666667,23.625000000000007,18.36,15.22,14.44516129032258,14.896666666666668,18.136666666666663,20.293333333333333,23.296666666666663,29.80666666666666
1973,30.606896551724137,28.48846153846154,26.386666666666667,22.728571428571428,18.567741935483873,15.417241379310344,13.416129032258063,17.40967741935484,18.586666666666662,20.370967741935484,25.986666666666665,27.79354838709677
1974,29.91,27.89285714285714,26.564516129032253,24.686666666666664,17.874193548387098,13.286666666666667,13.677419354838712,18.84193548387097,19.369999999999997,21.806451612903224,24.440000000000005,26.65
1975,28.5741935483871,27.417857142857144,24.970967741935485,22.133333333333336,18.329032258064515,16.193333333333335,13.477419354838712,15.535483870967742,18.323333333333334,23.025806451612908,23.84,28.525806451612905
1976,29.335483870967746,27.693103448275863,25.916129032258063,23.050000000000004,17.806451612903217,15.133333333333333,15.041935483870965,15.951612903225804,18.326666666666668,21.196774193548386,26.186666666666667,28.63225806451613
1977,30.28709677419355,29.728571428571428,28.003225806451614,23.99,20.77741935483871,15.189999999999998,12.496774193548386,16.267741935483873,19.49,22.338709677419356,26.160000000000004,27.366666666666667
1978,29.51612903225806,29.371428571428574,26.7516129032258,23.223333333333336,20.151612903225804,15.050000000000002,15.225806451612902,15.670967741935485,18.746666666666666,23.80322580645161,25.66551724137931,28.251612903225805
1979,28.993548387096777,28.742857142857144,26.225806451612904,22.433333333333334,19.68709677419354,15.860000000000001,16.848387096774196,17.325806451612902,17.813333333333333,23.603225806451615,23.89666666666667,27.096774193548384
1980,30.883870967741945,28.893103448275863,28.87741935483871,21.113333333333337,17.06451612903226,15.719999999999999,15.05483870967742,17.977419354838712,19.693333333333335,22.38709677419355,24.973333333333333,28.506451612903227
1981,28.706451612903223,29.746428571428574,27.206451612903233,23.91666666666667,18.106451612903232,15.936666666666666,15.470967741935484,18.406451612903226,21.2,21.58709677419355,25.783333333333335,29.725806451612904
1982,29.75161290322581,28.800000000000008,27.948387096774194,22.849999999999998,18.21290322580645,13.736666666666663,14.258064516129032,17.416129032258063,18.356666666666666,22.232258064516124,24.62,28.943333333333335
1983,29.44193548387097,30.382142857142856,27.332258064516132,24.146666666666665,17.767741935483876,13.083333333333334,14.332258064516129,16.387096774193548,17.926666666666666,24.483870967741936,26.900000000000002,29.029032258064515
1984,30.53548387096774,29.234482758620693,26.21612903225807,25.236666666666665,15.870967741935486,12.846666666666666,14.899999999999997,16.377419354838707,19.403333333333332,22.767741935483873,23.48,27.87741935483871
1985,28.767741935483876,29.74642857142857,26.32903225806451,22.063333333333333,19.480645161290326,17.796666666666663,14.516129032258062,17.13225806451613,19.83333333333333,21.78064516129032,25.923333333333332,28.629032258064512
1986,29.87096774193548,28.982142857142858,27.53225806451613,22.313333333333336,19.293548387096774,14.166666666666664,17.958064516129028,16.083870967741937,19.15666666666667,23.32903225806452,24.266666666666666,30.287096774193547
1987,30.374193548387094,30.34642857142857,27.696774193548386,23.550000000000004,16.5258064516129,18.013333333333335,14.296774193548384,15.454838709677418,18.410000000000004,21.961290322580645,26.916666666666668,28.956666666666663
1988,29.24193548387097,29.451724137931034,27.18709677419354,23.910000000000004,18.570967741935487,16.353333333333335,15.238709677419356,16.94516129032258,19.06,24.612903225806452,27.756666666666668,29.39032258064516
1989,30.84193548387097,30.92142857142857,27.20967741935484,23.623333333333335,17.841935483870966,16.713333333333335,15.98709677419355,16.43548387096774,18.563333333333333,23.261290322580646,27.103333333333335,29.399999999999995
