Año,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
1993,32.5,33.5,32.6,31.5,23.4,23.8,20.1,27.0,27.6,30.0,32.2,33.6
1994,34.7,32.5,32.8,28.7,27.4,25.0,21.8,23.9,30.8,29.7,31.2,34.6
1995,34.2,32.6,31.6,32.0,28.4,24.8,22.4,26.0,28.7,30.2,31.8,33.1
1996,33.1,34.0,32.6,28.8,27.2,23.8,26.8,27.0,32.6,31.0,33.4,33.0
1997,34.0,34.8,34.8,31.8,30.4,20.2,22.4,28.7,31.6,27.1,30.7,33.2
1998,36.6,34.8,31.8,31.8,27.5,23.4,23.2,29.8,29.2,31.6,32.1,35.4
1999,33.8,33.3,31.2,27.6,26.9,20.4,25.2,24.7,26.4,29.4,31.3,31.6
2000,34.1,31.7,31.0,30.4,24.2,21.0,23.0,25.6,28.0,31.6,31.8,33.6
2001,34.0,33.5,31.8,29.4,28.0,24.0,24.6,28.2,27.0,28.2,31.8,34.4
2002,33.4,33.6,32.0,27.8,30.8,22.4,26.0,24.0,25.8,29.0,32.4,33.2
2003,36.4,34.0,32.3,31.9,28.6,24.2,24.2,28.3,27.8,31.8,31.5,33.2
2004,32.6,33.4,34.2,28.5,27.0,22.6,23.5,27.6,29.6,29.0,31.4,32.6
2005,35.2,35.9,33.5,30.0,24.1,21.0,23.3,25.6,24.6,31.9,31.1,34.0
2006,36.3,32.6,31.4,29.4,26.7,23.0,25.5,28.4,31.0,30.0,33.8,34.8
2007,34.5,33.2,33.7,30.4,25.0,26.7,22.0,25.2,26.8,31.2,34.8,33.6
2008,34.8,33.8,31.6,30.4,25.2,23.3,22.1,26.6,30.7,28.9,32.0,34.2
2009,34.2,34.6,34.0,30.5,26.3,26.0,22.8,27.4,25.8,33.1,31.1,34.3
2010,35.4,33.4,34.0,30.8,29.3,23.0,22.0,25.0,27.8,30.8,33.8,33.5
2011,34.0,34.6,32.4,32.0,28.0,23.7,25.8,29.8,31.2,30.6,34.0,33.6
