Año,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1985,52.715625,47.61379310344827,57.065625,61.46774193548387,70.2125,76.83870967741936,77.3625,67.44375,67.19032258064516,60.775,56.63870967741936,46.59375
1986,44.6,49.43448275862069,50.946875,61.61290322580645,66.8375,81.6,71.5875,77.0125,65.02580645161291,63.2375,58.31935483870968,49.575
1987,46.484375,46.641379310344824,57.315625,60.74516129032258,73.128125,68.68064516129031,78.540625,73.534375,70.25483870967743,65.5,52.29032258064516,41.6375
1988,46.00625,52.62,55.265625,60.5,64.01875,67.33870967741936,68.79375,68.684375,61.81290322580645,46.703125,46.567741935483866,44.915625
1989,47.01875,47.758620689655174,54.575,64.55483870967743,80.503125,80.53225806451613,82.6,82.071875,74.52580645161291,64.39375,54.81935483870968,49.528125
1990,46.340625,55.806896551724144,54.315625000000004,66.79354838709678,65.1625,62.3258064516129,70.175,69.56875,68.3741935483871,61.3875,49.63225806451613,42.78125
1991,43.890625,47.286206896551725,58.278125,64.23870967741935,72.059375,74.95483870967742,77.59375,74.340625,67.64516129032258,58.1625,57.487096774193546,51.309375
1992,50.921875,52.77333333333333,57.41875,61.15483870967742,72.975,82.23870967741935,79.575,70.078125,70.03225806451613,54.534375,53.61290322580645,44.81875
1993,44.909375,50.141379310344824,51.63125,69.11290322580645,74.540625,76.76129032258065,74.321875,66.534375,63.20645161290323,58.096875,46.380645161290325,46.690625
1994,49.56875,49.52758620689655,56.40625,61.60645161290322,74.315625,81.53870967741935,79.878125,71.334375,65.98064516129033,61.146875,52.39354838709678,51.503125
1995,46.35625,54.47586206896552,55.79375,61.66129032258065,64.39375,75.30645161290323,72.671875,67.884375,68.8258064516129,52.44375,53.306451612903224,51.987500000000004
1996,45.225,46.39333333333333,53.278125,64.3,69.459375,69.30645161290323,71.096875,73.83125,61.2,57.084375,46.21290322580645,45.059375
1997,43.478125,42.800000000000004,58.753125,59.7,73.99375,81.64193548387097,75.95625,69.715625,71.96774193548387,68.23125,56.987096774193546,55.09375
1998,42.871875,55.47241379310345,57.284375,69.36129032258064,67.484375,71.65483870967742,69.8125,61.225,59.95483870967742,47.890625,44.36774193548387,43.64375
1999,50.090625,49.658620689655166,53.109375,59.119354838709675,69.01875,75.89354838709677,69.546875,71.928125,72.84516129032258,67.321875,51.55483870967742,46.709375
2000,46.696875,51.29666666666667,49.9875,65.9258064516129,70.43125,78.36774193548388,72.89375,72.63125,72.59032258064516,63.278125,51.33870967741935,45.775
2001,48.9625,50.306896551724144,54.11875,65.77741935483871,75.915625,70.05483870967741,79.253125,76.546875,71.40322580645162,63.446875,55.15806451612904,50.878125
2002,48.2125,54.44137931034483,52.80625,65.1,69.64375,76.49354838709678,69.540625,74.5875,64.16774193548387,58.865625,52.21935483870968,50.40625
2003,46.4375,45.686206896551724,59.5625,59.45483870967742,65.75625,76.1,71.884375,67.23125,60.20645161290323,53.6125,51.332258064516125,46.078125
2004,47.928125,51.14333333333333,55.975,65.19354838709677,70.1625,72.73225806451612,72.571875,69.459375,63.980645161290326,58.715625,54.461290322580645,44.078125
2005,42.4125,54.106896551724134,53.540625,54.512903225806454,74.390625,82.98709677419355,75.75625,77.19375,67.93225806451613,60.81875,53.63225806451613,50.853125
2006,46.31875,65.62758620689655,60.387499999999996,68.80645161290323,77.5625,84.27741935483871,82.44375,79.746875,71.08064516129032,69.140625,60.064516129032256,52.853125
2007,55.996874999999996,61.720689655172414,62.903125,71.28064516129032,75.109375,80.71935483870968,78.546875,73.053125,70.0516129032258,59.696875,50.99032258064516,50.865625
2008,49.8375,56.843333333333334,61.3125,65.44516129032259,78.34375,79.59354838709677,82.665625,77.721875,73.50645161290322,63.725,58.80967741935484,57.5625
2009,48.45625,49.99655172413794,58.009375,63.84838709677419,77.69375,73.85806451612903,74.3125,75.5625,73.41935483870968,58.9625,52.0,44.11875
2010,47.021875,50.1551724137931,57.809375,63.641935483870974,73.890625,77.51290322580645,76.89375,73.91875,64.34516129032258,61.653125,56.1741935483871,52.9
2011,49.06875,55.55172413793103,56.44375,66.3741935483871,68.728125,77.19032258064516,78.371875,76.55,63.83870967741935,56.6875,51.99354838709677,50.834375
2012,54.328125,48.736666666666665,52.3375,65.34516129032258,72.40625,77.09354838709677,73.084375,73.8125,70.38387096774194,67.946875,55.79032258064516,51.19375
2013,60.43125,51.59655172413793,52.453125,64.96129032258064,75.275,78.23870967741935,78.40625,72.33125,62.65161290322581,59.1625,53.65806451612904,53.296875
2014,46.95,50.679310344827584,55.68125,59.24193548387097,71.75625,81.12903225806451,75.646875,73.94375,75.01612903225806,57.896875,50.91290322580645,52.125
2015,50.94375,51.05862068965517,54.13125,61.012903225806454,67.25,62.08064516129032,71.784375,74.028125,65.9258064516129,65.33125,57.277419354838706,49.26774193548387
2016,56.959375,52.28666666666666,61.21875,74.52903225806452,79.753125,80.48709677419355,79.56875,71.89375,61.73870967741936,58.05625,49.270967741935486,53.353125
2017,41.725,50.41379310344828,53.15,61.016129032258064,78.73125,80.6,78.490625,77.4,68.44193548387096,63.634375,54.13870967741936,51.984375
2018,55.209375,56.42068965517242,54.60625,65.88709677419355,67.60625,74.19354838709677,77.63125,70.0125,67.24193548387096,61.009375,47.377419354838715,51.715625
2019,47.803125,51.51379310344828,53.021875,67.93870967741935,67.18125,73.74516129032257,76.171875,63.403125,61.87419354838709,52.740625,46.32258064516129,41.159375
2020,48.125,47.38,57.08125,61.641935483870974,67.203125,81.33225806451614,80.35,71.365625,65.78064516129032,56.684375,56.34193548387096,47.340625
2021,50.665625,65.70344827586207,61.721875,69.80967741935484,71.525,76.44193548387096,70.2125,73.359375,65.23548387096774,54.959375,52.92903225806452,52.578125
2022,51.9875,53.49310344827586,51.315625,63.983870967741936,73.390625,78.42258064516129,81.728125,76.45,70.63225806451612,58.165625,55.96774193548387,46.9125
2023,49.546875,46.54482758620689,52.303125,60.94193548387097,74.0125,78.1,79.896875,75.88125000000001,74.88064516129033,66.7125,62.42580645161291,53.784375
2024,51.759375,53.52333333333333,52.35,60.487096774193546,78.471875,84.29354838709678,74.671875,75.35625,64.46774193548387,65.378125,52.803225806451614,50.490625
